,Net m²,Brüt m²,Binadaki Kat Sayısı,Isıtma Tipi,Bulunduğu Kat,Bina Yaşı,Mobilya Durumu,Kullanım Durumu,Krediye Uygun,Hayvan Dostu Patili Evler,Ada,Parsel,Listing No,Gross m²,Number of Rooms,Number of Bathrooms,Floor,Suitable for Bank Loan,Number of Floors of the Building,Heating Type,Age of the Building,Furnishing Status,Usage Status,Status of the Property,Maintenance Fee,Rental Income,From Whom,Title Deed Status,House Type,"Video Home Tour
                                                                ?",Unit Exchange,Pet Friendly Paws Houses,Layout,Parcelled,Fiyat,İl,İlçe,Mahalle,Oda
98,102,117m²,4,Kombi (Doğalgaz),Kot 1,0,Eşyasız,Boş,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,,,1550000,İstanbul,Beylikdüzü,Yakuplu, 2 + 1 
99,117,148m²,3,Kombi (Doğalgaz),Giriş Katı,21-25 arası,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,7770000,İstanbul,Büyükçekmece,Alkent 2000, 1 + 1 
100,175,185m²,5,Kalorifer (Doğalgaz),5,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2075000,İstanbul,Beylikdüzü,Kavaklı, 3 + 2 
101,90,100m²,4,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1360000,İstanbul,Avcılar,Mustafa Kemal Paşa, 2 + 1 
102,85,95m²,4,Kombi (Doğalgaz),Bahçe katı,3,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,830000,İstanbul,Esenyurt,Saadetdere, 2 + 1 
103,100,110m²,4,Kombi (Doğalgaz),Giriş Katı,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,970000,İstanbul,Sancaktepe,Yunus Emre, 1 + 1 
104,90,95m²,5,Kombi (Doğalgaz),3,6-10 arası,Eşyasız,Boş,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,,,820000,İstanbul,Esenyurt,Bağlarçeşme, 2 + 1 
105,126,127m²,20 ve üzeri,Kombi (Doğalgaz),,6-10 arası,,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,3970000,İstanbul,Avcılar,Tahtakale, 2 + 1 
106,125,140m²,2,Kombi (Doğalgaz),4,36-40 arası,Eşyasız,Mülk Sahibi,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,,,5950000,İstanbul,Bahçelievler,Bahçelievler, 3 + 1 
107,90,100m²,5,Merkezi Sistem,,4,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,805000,İstanbul,Esenyurt,Çınar, 2 + 1 
